Horizon,Execution Time (seconds)
1,14.057315335999874
2,19.840090142000008
3,30.23029943000006
4,33.409657973999856
5,38.92315739600008
6,44.80668725700002
7,51.27109050399986
8,56.70571853499996
9,68.48276996499999
10,83.76769688199988
11,116.21136692799973
12,126.59549067099988
13,143.6131778859999
14,171.42906403799998
15,172.27417706600045
16,182.9307743979998
17,208.63368337799966
18,226.91243196100004
19,238.9954700430003
20,253.87351409699977
21,288.34047178100036
22,314.59118396399936
23,336.14341680600046
24,383.4799566169995
25,418.1924647470005
26,444.676773141
27,499.11642507800025
28,525.9840637460002
29,592.4539090819999
30,609.2914374900001
