Horizon,Execution Time (seconds)
1,3.2533678
2,4.6465819999999995
3,7.107272699999999
4,7.787265999999999
5,9.0348249
6,10.485300699999996
7,11.887345400000001
8,13.407765399999995
9,16.01243000000001
10,19.500197299999996
11,26.644641400000012
12,29.847747800000008
13,34.20181869999999
14,40.7369166
15,40.552920099999966
16,43.17230919999997
17,47.67056050000002
18,53.72920099999999
19,56.096955700000024
20,59.733939899999996
21,65.9073664
22,74.22349789999998
23,79.1883216
24,89.89654159999998
25,98.37403159999997
26,103.7670384999999
27,119.87823679999997
28,124.27130519999992
29,136.08481880000022
30,142.87472900000012
